station_name,lat,lon,province,source
DKI70 SDN 01 Pondok Kelapa Pagi,-6.239175,106.932967,JAKARTA,UDARA JKT
DKI71 SDN 02 Pagi Ujung Menteng,-6.183194,106.960562,JAKARTA,UDARA JKT
DKI72 SDN 03 Cijantung,-6.319594,106.851231,JAKARTA,UDARA JKT
DKI73 SDN 04 Cibubur,-6.344574,106.874146,JAKARTA,UDARA JKT
DKI74 SDN 04 Cipinang Melayu,-6.251542,106.917473,JAKARTA,UDARA JKT
DKI75 SDN 06 Makassar,-6.279235,106.880195,JAKARTA,UDARA JKT
DKI76 SDN 10 Pondok Bambu,-6.232204,106.908,JAKARTA,UDARA JKT
DKI77 SDN 11 Utan Kayu Utara,-6.195917,106.86781,JAKARTA,UDARA JKT
DKI78 SDN 12 Gedong,-6.301248,106.856648,JAKARTA,UDARA JKT
DKI79 SDN 18 Cipinang Muara,-6.236803,106.889094,JAKARTA,UDARA JKT
DKI80 SDN 18 Pekayon,-6.345559,106.869082,JAKARTA,UDARA JKT
DKI81 SMPN 179 Jakarta,-6.331141,106.852423,JAKARTA,UDARA JKT
DKI82 Taman Sutoyo,-6.257937,106.870456,JAKARTA,UDARA JKT
DKI83 Kamal Park,-6.102668,106.700401,JAKARTA,UDARA JKT
DKI84 Kantor SUDIN LH Jakarta Barat (ROOFTOP),-6.152566,106.772469,JAKARTA,UDARA JKT
DKI85 Komplek Dinas Kebersihan Tegal Alur,-6.128056,106.718611,JAKARTA,UDARA JKT
DKI86 RPTRA Kalijodo,-6.142839,106.790256,JAKARTA,UDARA JKT
DKI87 RPTRA Pandawa,-6.184001,106.763099,JAKARTA,UDARA JKT
DKI88 RPTRA Ria Damkar Joglo 2,-6.218871,106.723319,JAKARTA,UDARA JKT
DKI89 RSUD Cengkareng,-6.143486,106.73485,JAKARTA,UDARA JKT
DKI90 Rusunawa KS Tubun,-6.186561,106.809686,JAKARTA,UDARA JKT
DKI91 SDN 05 Wijaya Kusuma Pagi (ROOFTOP),-6.160188,106.775834,JAKARTA,UDARA JKT
DKI92 SMPN 88 Jakarta (ROOFTOP),-6.19306,106.794973,JAKARTA,UDARA JKT
DKI93 Taman Maju Bersama (TMB) Dupa Indah,-6.171999,106.775773,JAKARTA,UDARA JKT
DKI94 Taman Maju Bersama (TMB) Tanjung Duren,-6.166959,106.786776,JAKARTA,UDARA JKT
DKI95 Tebet Eco Park,-6.23919,106.85286,JAKARTA,UDARA JKT
DKI96 Taman Sungai Kendal,-6.138498,106.968258,JAKARTA,UDARA JKT
DKI97 Sudin LH Jakpus,-6.185583,106.873987,JAKARTA,UDARA JKT
DKJ01 Bundaran HI,-6.195459,106.822731,JAKARTA,UDARA JKT
DKJ02 Kelapa Gading,-6.154085,106.908249,JAKARTA,UDARA JKT
DKJ03 Jagakarsa,-6.336216,106.818082,JAKARTA,UDARA JKT
DKJ04 Lubang Buaya,-6.2908,106.908501,JAKARTA,UDARA JKT
DKJ05 Kebun Jeruk,-6.192061,106.770606,JAKARTA,UDARA JKT
DKJ06 GOR Cendrawasih,-6.143302,106.72061,JAKARTA,UDARA JKT
DKJ07 Kebon Bibit Cilangkap,-6.341642,106.901568,JAKARTA,UDARA JKT
DKJ08 GOR Ciracas,-6.324783,106.86687,JAKARTA,UDARA JKT
DKJ09 TMB Gombol Paya Kalideres,-6.134635,106.689188,JAKARTA,UDARA JKT
DKJ10 RPTRA Manggala Bisma Papanggo,-6.127813,106.868044,JAKARTA,UDARA JKT
DKJ11 Rusun Penjaringan,-6.129308,106.795757,JAKARTA,UDARA JKT
DKJ12 Jakarta Equestrian Pulomas,-6.178465,106.887179,JAKARTA,UDARA JKT
DKJ13 PPOP Ragunan,-6.304421,106.82892,JAKARTA,UDARA JKT
DKJ14 Pulau Panggang,-5.741774,106.603866,JAKARTA,UDARA JKT
DKJ15 Dinas Teknis Jati Baru,-6.181032,106.811007,JAKARTA,UDARA JKT
DKJ16 Hutan Kota Srengseng,-6.21177,106.76376,JAKARTA,UDARA JKT
DKJ17 Jl DI Panjaitan,-6.24581,106.87534,JAKARTA,UDARA JKT
DKJ18 Jl Fatmawati,-6.27533,106.7977,JAKARTA,UDARA JKT
DKJ19 Jl Pasar Minggu,-6.27961,106.84521,JAKARTA,UDARA JKT
DKJ20 Kelapa Gading SPKU,-6.15421,106.91045,JAKARTA,UDARA JKT
DKJ21 Kota Tua,-6.13488,106.81286,JAKARTA,UDARA JKT
DKJ22 PT JIEP Pulogadung,-6.20697,106.91962,JAKARTA,UDARA JKT
DKJ23 Pulau Pramuka,-5.74466,106.61298,JAKARTA,UDARA JKT
DKJ24 Jl Mesjid Al Alam Marunda,-6.096033,106.960159,JAKARTA,UDARA JKT
DKJ25 Stadion Olah Raga JIS,-6.12521,106.8587,JAKARTA,UDARA JKT
DKJ26 Taman Delonix,-6.34689,106.87011,JAKARTA,UDARA JKT
DKJ27 Taman Tebet Ecopark,-6.23919,106.85286,JAKARTA,UDARA JKT
DKJ28 Terminal Kalideres,-6.15396,106.70605,JAKARTA,UDARA JKT
DKJ29 Kantor Walikota Jakarta Barat,-6.1858,106.7379,JAKARTA,UDARA JKT
DKJ30 Kantor Walikota Jakarta Timur,-6.2146,106.9442,JAKARTA,UDARA JKT
DKJ31 Rusun Marunda,-6.098778,106.963342,JAKARTA,UDARA JKT
DKJ32 Ancol,-6.122443,106.83765,JAKARTA,UDARA JKT
DKJ33 Lebak Bulus,-6.301071,106.789206,JAKARTA,UDARA JKT
DKJ34 Pondok Ranggon,-6.341538,106.91799,JAKARTA,UDARA JKT
DKJ35 Rusunawa Pesakih,-6.161974,106.716769,JAKARTA,UDARA JKT
DKJ36 Sudin LH Pusat,-6.185622,106.873566,JAKARTA,UDARA JKT
Kemayoran,-6.155,106.846,JAKARTA,AQICN
Jakarta GBK Gelora,-6.215499,106.803001,JAKARTA,AQICN
KBN Marunda Jakarta Utara,-6.10898,106.9440002,JAKARTA,AQICN
Jakarta Timur Kebon Nanas,-6.23385,106.8769989,JAKARTA,AQICN
Krukut,-6.159382,106.818018,JAKARTA,AQICN
Pakubuwono Menteng,-6.186116,106.8236334,JAKARTA,AQICN
Permata Hijau 3 Nafas,-6.22241,106.788319,JAKARTA,AQICN
Pakubuwono 3 Nafas,-6.23734,106.78617,JAKARTA,AQICN
Kedoya Utara Nafas,-6.171475,106.762252,JAKARTA,AQICN
Bekasi Kayuringin,-6.237443,106.993006,JAKARTA,AQICN
Duta Niaga Pondok Indah,-6.290015,106.783305,JAKARTA,IQAIR
JI. Benda Dalam,-6.277594,106.816518,JAKARTA,IQAIR
Taman Patra,-6.237269,106.833616,JAKARTA,IQAIR
Ascott Kuningan - myhome,-6.2250436,106.8154254,JAKARTA,IQAIR
Casa Grande Tower Chianti,-6.222901,106.842439,JAKARTA,IQAIR
INDODAX,-6.2321642,106.8441545,JAKARTA,IQAIR
Wisma Matahari Power,-6.208778,106.783985,JAKARTA,IQAIR
Kemang Timur V,-6.26369,106.826396,JAKARTA,IQAIR
AHP Capital Place,-6.2319431,106.8178425,JAKARTA,IQAIR
ERASMUS HUIS DUTCH CULTURAL CENTER,-6.2343291,106.8285468,JAKARTA,IQAIR
Jeruk Purut,-6.2861548,106.8121308,JAKARTA,IQAIR
Cipete Selatan Asem II,,,JAKARTA,IQAIR
Cilandak Barat,-6.299752,106.802465,JAKARTA,IQAIR
idsMED - JKT - Wisma 76,-6.1905224,106.7965873,JAKARTA,IQAIR
KJ.O,-6.207285,106.747797,JAKARTA,IQAIR
The RBS - AirVisual Outdoor,-6.229664,106.802898,JAKARTA,IQAIR
Graha LMU,-6.1840636,106.9229104,JAKARTA,IQAIR
Semanggi,-6.218338,106.812041,JAKARTA,IQAIR
Wisma Barito Pacific,-6.1972942,106.7960373,JAKARTA,IQAIR
Gran Melia Jakarta,-6.2349555,106.8294552,JAKARTA,IQAIR
Simprug THL Area,-6.22918,106.79418,JAKARTA,IQAIR
Jakarta Atmaya residences,-6.282953,106.80845,JAKARTA,IQAIR
Kemang V,-6.26411,106.821196,JAKARTA,IQAIR
Cipaku IV,-6.244437,106.810202,JAKARTA,IQAIR
Puri Indah,-6.187909,106.737535,JAKARTA,IQAIR
Radiant Group Building,-6.241399,106.8201585,JAKARTA,IQAIR
Tatalogam Tower,-6.1893652,106.7699813,JAKARTA,IQAIR
ANTARA ETP - Bundaran HI,-6.1956998,106.8201086,JAKARTA,IQAIR
Tangerang Karang Tengah,-6.2103563,106.7046654,BANTEN,IQAIR
P2T,-6.306261,106.681455,BANTEN,IQAIR
Yayasan AHP - Lebak Bulus,-6.318934,106.775507,BANTEN,IQAIR
Pesantren Bayt Al-Quran,-6.346579,106.767861,BANTEN,IQAIR
Pakis,-6.330453,106.788381,BANTEN,IQAIR
pasir putih,-6.123983,106.855212,JAKARTA,IQAIR
idsMED - BKS - LOGOS,-6.197222,106.976904,BEKASI,IQAIR
Taman Resort Mediterania,-6.121166,106.76739,JAKARTA,IQAIR
TANGKAS SPORTS CENTRE,-6.167821,106.7790047,JAKARTA,IQAIR
Shinano Sport Club - Jakarta Garden City (JGC),-6.156538,106.96617,JAKARTA,IQAIR
Puretrex Indonesia - Tegal Alur / Kalideres,-6.118302,106.72775,JAKARTA,IQAIR
PRIDE AUTO WTC MANGGA DUA,-6.153016,106.894471,JAKARTA,IQAIR
Kemayoran,-6.155985,106.842399,JAKARTA,IQAIR
Gading Harmony,-6.166918,106.90001,JAKARTA,IQAIR
Antara ETP - Antara Heritage Center,-6.1654855,106.8314439,JAKARTA,IQAIR
Angkasa-Kemayoran,-6.157608,106.843202,JAKARTA,IQAIR
Agung Sedayu Group - WTP Ebony (BGM),-6.104329, 106.745825,JAKARTA,IQAIR
A3 x Smart Air - Citra Gran / Jatikarya,-6.384797,106.919274,BEKASI,IQAIR
Rambutan, Ciracas,-6.307278,106.875499,JAKARTA,IQAIR
Duitku PG, Kebon Jeruk,-6.1913057,106.7550517,JAKARTA,IQAIR
Widya Chandra, JK,-6.231525,106.815251,JAKARTA,IQAIR
Shinano, Jakarta Garden City,-6.15759,106.968429,JAKARTA,IQAIR
Pulo Mas, Kayu Putih 2,-6.18436,106.887136,JAKARTA,IQAIR
Pulo Mas, Kayu Putih,-6.183928,106.887289,JAKARTA,IQAIR
KRN,-6.144587,106.899173,JAKARTA,IQAIR
